section,title,description
11,Communication to Trade Union and change in its registration particulars,"(1) All communications and notices to a registered Trade Union shall be sent, in such manner as may be prescribed, to the address of the head office of the Trade Union as entered in the register maintained by the Registrar. (2) The Trade Union shall inform the Registrar if the members of such Trade Union falls below ten per cent. of total workers or one hundred workers, whichever is less. (3) The Trade Union shall inform the Registrar of any change in the particulars given by it in its application for registration and in its constitution or rules, in such manner as may be prescribed."
12,Incorporation of a registered Trade Union,"Every registered Trade Union shall be a body corporate by the name under which it is registered, and shall have perpetual succession and a common seal with power to acquire and hold both movable and immovable property and to contract, and shall by the said name sue and be sued."
13,Certain Acts not to apply to registered Trade Unions,"The provisions of the following Acts, namely:— (a) the Societies Registration Act, 1860 (21 of 1860); (b) the Co-operative Societies Act, 1912 (2 of 1912); (c) the Multi-State Co-operative Societies Act, 2002 (39 of 2002); (d) the Companies Act, 2013 (18 of 2013); and (e) any other corresponding law relating to co-operative societies for the time being in force in any State, shall not apply to any registered Trade Union and the registration of any such Trade Union under any of the aforementioned Acts shall be void."
14,Recognition of negotiating union or negotiating council,"(1) There shall be a negotiating union or a negotiating council, as the case may be, in an industrial establishment having registered Trade Union for negotiating with the employer of the industrial establishment, on such matters as may be prescribed. (2) Where only one Trade Union of workers registered under the provisions of this Chapter is functioning in an industrial establishment, then, the employer of such industrial establishment shall, subject to such criteria as may be prescribed, recognise such Trade Union as sole negotiating union of the workers. (3) If more than one Trade Union of workers registered under this Code are functioning in an industrial establishment, then, the Trade Union having fifty-one per cent. or more workers on the muster roll of that industrial establishment, verified in such manner as may be prescribed, supporting that Trade Union shall be recognised by the employer of the industrial establishment, as the sole negotiating union of the workers. (4) If more than one Trade Union of workers registered under this Code are functioning in an industrial establishment, and no such Trade Union has fifty-one per cent. or more of workers on the muster roll of that industrial establishment, verified in such manner as may be prescribed, supporting that Trade union, then, there shall be constituted by the employer of the industrial establishment, a negotiating council for negotiation on the matters referred to in sub-section (1), consisting of the representatives of such registered Trade Unions which have the support of not less than twenty per cent. of the total workers on the muster roll of that industrial establishment so verified and such representation shall be of one representative for each twenty per cent. and for the remainder after calculating t"
15,"Objects of general fund, composition of separate fund and membership fee of Trade Union","(1) The general funds of a registered Trade Union shall not be spent on any objects other than such objects as may be prescribed. (2) A registered Trade Union may constitute a separate fund, from contributions separately levied for or made to that fund, from which payments may be made, for the promotion of the civic and political interests of its members, in furtherance of such objects as may be prescribed. (3) No member shall be compelled to contribute to the fund constituted under sub-section (2) and a member who does not contribute to the said fund shall not be excluded from any benefits of the Trade Union, or placed in any respect either directly or indirectly under any disability or at any disadvantage as compared with other members of the Trade Union (except in relation to the control or management of the said fund) by reason of his not contributing to the said fund; and contribution to the said fund shall not be made a condition for admission to the Trade Union. (4) The subscriptions payable by the members of the Trade Union shall be such as may be prescribed."
16,Immunity from civil suit in certain cases,"(1) No suit or other legal proceeding shall be maintainable in any civil court against any registered Trade Union or any office-bearer or member thereof in respect of any act done in contemplation or furtherance of an industrial dispute to which a member of the Trade Union is a party on the ground only that such act induces some other person to break a contract of employment or that it is an interference with the trade, business, or employment of some other person or with the right of some other person to dispose of his capital or of his labour as he wills. (2) A registered Trade Union shall not be liable in any suit or other legal proceeding in any civil court in respect of any tortuous act done in contemplation or furtherance of an industrial dispute by an agent of the Trade Union if it is proved that such person acted without the knowledge of, or contrary to express instructions given by, the executive of the Trade Union."
17,Criminal conspiracy in furtherance of objects of Trade Union,"No office-bearer or member of a registered Trade Union shall be liable to punishment under sub-section (2) of section 120B of the Indian Penal Code (45 of 1860) in respect of any agreement made between the members for the purpose of furthering any such object of the Trade Union as is specified in section 15, unless such agreement is an agreement to commit an offence."
18,Enforceability of agreements,"Notwithstanding anything contained in any other law for the time being in force, an agreement between the members of a registered Trade Union shall not be void or voidable merely by reason of the fact that any of the objects of the agreement are in restraint of trade: Provided that nothing in this section shall enable any civil court to entertain any legal proceedings instituted for the purpose of enforcing or recovering damages for the breach of any agreement concerning the conditions on which any members of a Trade Union shall or shall not sell their goods, transact business, work, employ or be employed."
19,Right to inspect books of Trade Union,The books of account of a registered Trade Union and the list of members thereof shall be open to inspection by an office-bearer or member of the Trade Union at such times as may be provided for in the rules of the Trade Union.
20,Rights of minor to membership of Trade Union,"Any person who has attained the age of fourteen years and is employed in a nonhazardous industry may be a member of a registered Trade Union subject to any rules of the Trade Union, and may, subject to as aforesaid enjoy all the rights of a member and execute all instruments and given all acquaintances necessary to be executed or given under the rules."
21,Disqualification of office-bearers of Trade Unions,"(1) A person shall be disqualified for being chosen as, and for being, a member of the executive or any other office-bearer of a registered Trade Union, if— (i) he has not attained the age of eighteen years; (ii) he has been convicted by a court in India for any offence involving moral turpitude and sentenced to imprisonment unless a period of five years has elapsed since his release; (iii) the Tribunal has directed that he shall be disqualified for being chosen or for being office- bearer of a Trade Union for a period specified therein. (2) No member of the Council of Ministers or a person holding an office of profit (not being an engagement or employment in an establishment or industry with which the Trade Union is connected) in the Union or a State shall be a member of the executive or other office-bearer of a Trade Union."
22,Adjudication of disputes of Trade Unions,"(1) Where a dispute arises between— (a) one Trade Union and another; or (b) one or more workers who are members of the Trade Union and the Trade Union regarding registration, administration or management or election of office-bearers of the Trade Union; or (c) one or more workers who are refused admission as members and the Trade Union; or (d) where a dispute is in respect of a Trade Union which is a federation of Trade Unions and office-bearer authorised in this behalf by the Trade Union, an application may be made in such manner as may be prescribed to the Tribunal having jurisdiction over the area where the registered office of the Trade Union or Trade Unions is located for adjudication of such disputes. (2) No civil court other than the Tribunal shall have power to entertain any suit or other proceedings in relation to any dispute referred to in sub-section (1)."
23,Proportion of office-bearers to be connected with industry,"(1) Not less than one-half of the total number of the office-bearers of every registered Trade Union in an unorganised sector shall be persons actually engaged or employed in an establishment or industry with which the Trade Union is connected: Provided that the appropriate Government may, by special or general order, declare that the provisions of this section shall not apply to any Trade Union or class of Trade Unions specified in the order. Explanation.—For the purposes of this sub-section, “unorganised sector” means any sector which the appropriate Government may, by notification, specify. (2) Save as otherwise provided in sub-section (1), all office-bearers of a registered Trade Union, except not more than one-third of the total number of the office-bearers or five, whichever is less, shall be persons actually engaged or employed in the establishment or industry with which the Trade Union is connected. Explanation.—For the purposes of this sub-section, an employee who has retired or has been retrenched shall not be construed as outsider for the purpose of holding an office in a Trade Union."
24,"Change of name, amalgamation, notice of change and its effect","(1) Any registered Trade Union may, with the consent of not less than two-third of the total number of its members and subject to the provisions of sub-section (3), change its name. (2) Any two or more registered Trade Unions may be amalgamated in such manner as may be prescribed. (3) Notice in writing of every change of name and of every amalgamation signed in the case of a change of name, by the secretary and by seven members of the Trade Union changing its name, and in the case of an amalgamation, by the secretary and by seven members of each and every Trade Union which is a party thereto, shall be sent to the Registrar and where the head office of the amalgamated Trade Union is situated in a different State, to the Registrar of such State in such manner as may be prescribed. (4) If the proposed name is identical with that by which any other existing Trade Union has been registered or, in the opinion of the Registrar, so nearly resembles such name as to be likely to deceive the public or the members of either Trade Union, the Registrar shall refuse to register the change of name. (5) Save as provided in sub-section (4), the Registrar shall, if he is satisfied that the provisions of this Code in respect of change of name have been complied with, register the change of name in the register referred to in sub-section (3) of section 9, and the change of name shall have effect from the date of such registration. (6) The Registrar of the State in which the head office of the amalgamated Trade Union is situated shall, if he is satisfied that the provisions of this Code in respect of amalgamation have been complied with and that the Trade Union formed thereby is entitled to registration under section 9, register the Trade Union and the amalgamation shall have effect from the"
25,Dissolution,"(1) When a registered Trade Union is dissolved, notice of the dissolution signed by seven members and by the secretary of the Trade Union shall, within fourteen days of the dissolution, be sent to the Registrar, and shall be registered by him if he is satisfied that the dissolution has been effected in accordance with the rules of the Trade Union, and the dissolution shall have effect from the date of such registration. (2) Where the dissolution of a registered Trade Union has been registered and the rules of the Trade Union do not provide for the distribution of funds of the Trade Union on dissolution, the Registrar shall divide the funds amongst the members in such manner as may be prescribed."
26,Annual returns,"(1) Every registered Trade Union shall— (a) forward annually to the Registrar, on or before such date, in such form, audited in such manner and by such person, as may be prescribed, a general statement containing particulars of all receipts and expenditure of such registered Trade Union during the year ending on the 31st day of December next preceding such prescribed date, and of the assets and liabilities of the Trade Union existing on such 31st day of December; (b) along with the general statement referred to in clause (a), forward to the Registrar a statement showing changes of office-bearers made by the Trade Union during the year to which such general statement refers, together also with a copy of the rules of the Trade Union corrected up to the date of dispatch thereof to the Registrar. (2) A copy of every alteration made in the rules of a registered Trade Union shall be sent to the Registrar within fifteen days of the making of the alteration. (3) For the purpose of examining the documents referred to in clauses (a) and (b) of sub-section (1), and sub-section (2), the Registrar or any officer authorised by him, by general or special order, may at all reasonable times inspect the certificate of registration, account books, registers and other documents, relating to a Trade Union, at its registered office or may require their production at such place as he may specify in this behalf, but no such place shall be at a distance of more than fifteen kilometres from the registered office of such Trade Union."
27,Recognition of Trade Unions at Central and State level,"(1) Where the Central Government is of the opinion that it is necessary or expedient that a Trade Union or federation of Trade Unions is to be recognised as Central Trade Union at the Central level, it may recognise such Trade Union or federation of Trade Unions as Central Trade Union in such manner and for such purpose, as may be prescribed, and if any dispute arises in relation to such recognition, it shall be decided by such authority in such manner as may be prescribed by the Central Government. (2) Where the State Government is of the opinion that it is necessary or expedient that a Trade Union or federation of Trade Unions is to be recognised as State Trade Union at the State level, it may recognise such Trade Union or federation of Trade Unions as State Trade Union in such manner and for such purpose, as may be prescribed, and if any dispute arises in relation to such recognition, it shall be decided by such authority in such manner as may be prescribed by the State Government. CHAPTER IV STANDING ORDERS"
28,Application of this Chapter,"(1) The provisions of this Chapter shall apply to every industrial establishment wherein three hundred or more than three hundred workers, are employed, or were employed on any day of the preceding twelve months. (2) Notwithstanding anything contained in sub-section (1), the provisions of this Chapter shall not apply to an industrial establishment in so far as the workers employed therein are persons to whom the Fundamental and Supplementary Rules, Civil Services (Classification, Control and Appeal) Rules, Civil Services (Temporary Service) Rules, Revised Leave Rules, Civil Service Regulations, Civilians in Defence Service (Classification, Control and Appeal) Rules or the Indian Railway Establishment Code or any other rules or regulations that may be notified in this behalf by the appropriate Government, apply."
29,Making of model standing orders by Central Government and temporary application,"(1) The Central Government shall make model standing orders relating to conditions of service and other matters incidental thereto or connected therewith. (2) Notwithstanding anything contained in sections 30 to 36, for the period commencing on the date on which this section becomes applicable to an industrial establishment and ending with the date on which the standing orders as finally certified under this Code come into operation under section 33 in that establishment, the model standing order referred to in sub-section (1) shall be deemed to be adopted in that establishment and the provisions of sub-section (2) of section 33 and section 35 shall apply to such model standing orders as they apply to the standing orders so certified."
30,Preparation of draft standing orders by employer and procedure for certification,"(1) The employer shall prepare draft standing orders, within a period of six months from the date of commencement of this Code, based on the model standing orders referred to in section 29 in respect of the matters specified in the First Schedule and on any other matter considered necessary by him for incorporation of necessary provisions in such standing orders for his industrial establishment or undertaking, considering the nature of activity in his industrial establishment or undertaking, provided such provision is not inconsistent with any of the provision of this Code and covers every matters set out in the First Schedule. (2) The employer shall consult the Trade Unions or recognised negotiating union or members of the negotiating council relating to the industrial establishment or undertaking, as the case may be, in respect of the draft of the standing order and thereafter forward the draft of the standing order electronically or otherwise to the certifying officer for certification. (3) Where an employer adopts a model standing order of the Central Government referred to in section 29 with respect to matters relevant to his industrial establishment or undertaking, then, such model standing order shall be deemed to have been certified under the provisions of this section and employer shall forward the information in this regard to the concerned certifying officer in such manner as may be prescribed: Provided that if the certifying officer has any observation, he may direct such employer to amend the standing order so adopted within such period as may be prescribed. (4) The employer shall prepare the draft of the modifications required in the standing order, if any, in accordance with the provisions of this Code and forward electronically or otherwise to the certif"
31,Certifying officer and appellate authority to have powers of civil court,"(1) Every certifying officer and the appellate authority referred to in section 32 shall have all the powers of a civil court for the purposes of receiving evidence, administering oath, enforcing the attendance of witnesses, and compelling the discovery and production of documents, and shall be deemed to be a civil court within the meaning of sections 345 and 346 of the Code of Criminal Procedure, 1973 (2 of 1974). (2) Clerical or arithmetical mistakes in any order passed by a certifying officer, or errors arising therein from any accidental slip or omission may, at any time, be corrected by that officer or successor in office of such officer."
32,Appeals,"An employer or Trade Union or the negotiating union or negotiating council, or where there is no negotiating union or negotiating council in an industrial establishment or undertaking, any union or such representative body of the workers of the industrial establishment or undertaking, if not satisfied with the order of the certifying officer given under sub-section (5) of section 30, may file an appeal within sixty days of receipt of the order of the certifying officer to the appellate authority appointed by the appropriate Government, by notification, and such authority shall dispose of the appeal in such manner as may be prescribed."
33,Date of operation of standing orders and its availability,"(1) The standing orders or modified standing orders, as the case may be, shall, unless an appeal is preferred under section 32, come into operation on the expiry of thirty days from the date on which authenticated copies thereof are sent under sub-section (8) of section 30, or where an appeal as aforesaid is preferred, on the expiry of seven days from the date on which copies of the order of the appellate authority are sent in such manner as may be prescribed. (2) The text of a standing order as finally certified under this Code shall be maintained by the employer in such language and in such manner for the information of the concerned workers as may be prescribed."
34,Register of standing orders,"A copy of all standing orders as finally certified under this Code shall be filed by the certifying officer in a register maintained for the purpose or uploaded in electronic form or such other form as may be prescribed, and the certifying officer shall furnish a copy thereof to any person applying therefor on payment of such fee as may be prescribed."
35,Duration and modification of standing orders,"(1) The standing orders certified under sub- section (8) of section 30 shall not, except on an agreement between the employer and the workers, or a negotiating union or a Trade Union or other representative body of the workers, be liable to modification until the expiry of six months from the date on which the standing orders or the last modifications thereof came into operation. (2) Subject to the provisions of sub-section (1), an employer or worker or a Trade Union or other representative body of the workers may apply to the certifying officer to have the standing orders modified in such application as may be prescribed, which shall be accompanied by such copies of the modifications proposed to be made, and where the modifications are proposed to be made by agreement between the employer and the workers or a Trade Union or other representative body of the workers, a certified copy of that agreement shall be filed alongwith the application. (3) The foregoing provisions of this Code shall apply in respect of an application under sub-section (2) as they apply to the certification of the first time standing orders."
36,Oral evidence in contradiction of standing orders not admissible,No oral evidence having the effect of adding to or otherwise varying or contradicting standing order as finally certified under this Chapter shall be admitted in any Court.
37,"Interpretation, etc., of standing orders","If any question arises as to the application, or interpretation, of the standing orders certified under sub-section (8) of section 30 or the modification made therein by an agreement entered into under sub-section (5) of that section, the employer or any worker or workers concerned or the Trade Union in relation to the workers employed in the industrial establishment or undertaking, wherein the question has arisen, may apply to the Tribunal, within the local limits of whose territorial jurisdiction such establishment or the office, section or branch of the undertaking is situated, to decide the question and such Tribunal shall, after giving all the parties concerned a reasonable opportunity of being heard, decide the question and its decision shall be final and binding on the concerned employer and the workers."
38,Time-limit for completing disciplinary proceedings and liability to pay subsistence allowance,"(1) Where any worker is suspended by the employer pending investigation or inquiry into complaints or charges of misconduct against him, such investigation or inquiry, or where there is an investigation followed by an inquiry, both the investigation and inquiry shall be completed ordinarily within a period of ninety days from the date of suspension. (2) The standing orders certified under sub-section (8) of section 30 or modified under section 35 shall provide that where a worker is suspended as referred to in sub-section (1), the employer in relation to an industrial establishment or undertaking shall pay to such worker employed in such industrial establishment or undertaking subsistence allowance at the rates specified in sub-section (3) for the period during which such worker is placed under suspension pending investigation or inquiry into complaints or charges of misconduct against such worker. (3) The amount of subsistence allowance payable under sub-section (2) shall be — (a) at the rate of fifty per cent. of the wages which the worker was entitled to immediately preceding the date of such suspension, for the first ninety days of suspension; and (b) at the rate of seventy-five per cent. of such wages for the remaining period of suspension, if the delay in the completion of disciplinary proceedings against such worker is not directly attributable to the conduct of such worker."
39,Power to exempt,"The appropriate Government may, by notification, exempt, conditionally or unconditionally, any industrial establishment or class of industrial establishments from all or any of the provisions of this Chapter. CHAPTER V NOTICE OF CHANGE"
40,Notice of change,"No employer, who proposes to effect any change in the conditions of service applicable to any worker in respect of any matter specified in the Third Schedule, shall effect such change,— (i) without giving to the workers likely to be affected by such change a notice in such manner as may be prescribed of the nature of the change proposed to be effected; or (ii) within twenty-one days of giving such notice: Provided that no notice shall be required for effecting any such change— (a) where the change is effected in pursuance of any settlement or award; (b) where the workers likely to be affected by the change are persons to whom the Fundamental and Supplementary Rules, Civil Services (Classification, Control and Appeal) Rules, Civil Services (Temporary Service) Rules, Revised Leave Rules, Civil Services Regulations, Civilians in Defence Services (Classification, Control and Appeal) Rules or the Indian Railway Establishment Code or any other rules or regulations that may be notified in this behalf by the appropriate Government in the Official Gazette, apply; (c) in case of emergent situation which requires change of shift or shift working, otherwise than in accordance with standing orders, in consultation with Grievance Redressal Committee; (d) if such change is effected in accordance with the orders of the appropriate Government or in pursuance of any settlement or award."
41,Power of appropriate Government to exempt,"Where the appropriate Government is of the opinion that the application of the provisions of section 40 to any class of industrial establishments or to any class of worker employed in any industrial establishment affect the employers in relation thereto so prejudicially that such application may cause serious repercussion on the industry concerned and that public interest so requires, the appropriate Government may, by notification, direct that the provisions of the said section shall not apply or shall apply, subject to such conditions as may be specified in the notification, to that class of industrial establishments or to that class of workers employed in any industrial establishment. CHAPTER VI VOLUNTARY REFERENCE OF DISPUTES TO ARBITRATION"
42,Voluntary reference of disputes to arbitration,"(1) Where any industrial dispute exists or is apprehended and the employer and the workers agree to refer the dispute to arbitration, they may, by a written agreement, refer the dispute to arbitration, and the reference shall be to such person or persons as an arbitrator or arbitrators as may be specified in the arbitration agreement. (2) Where an arbitration agreement provides for a reference of the dispute to an even number of arbitrators, the agreement shall provide for the appointment of another person as umpire who shall enter upon the reference, if the arbitrators are equally divided in their opinion, and the award of the umpire shall prevail and shall be deemed to be the arbitration award for the purposes of this Code. (3) An arbitration agreement referred to in sub-section (1) shall be in such form and shall be signed by the parties thereto in such manner as may be prescribed. (4) A copy of the arbitration agreement shall be forwarded to the appropriate Government and the conciliation officer. (5) Where an industrial dispute has been referred to arbitration and the appropriate Government is satisfied that the persons making the reference represent the majority of each party, the appropriate Government may issue a notification in such manner as may be prescribed; and when any such notification is issued, the employers and workers who are not parties to the arbitration agreement but are concerned in the dispute, shall be given an opportunity of presenting their case before the arbitrator or arbitrators: Provided that— (i) where such industrial dispute is the industrial dispute other than the termination of individual worker by way of discharge, dismissal, retrenchment or otherwise, the workers shall be represented before the arbitrator,— (a) where there is negotia"
43,Conciliation officers,"(1) The appropriate Government may, by notification, appoint such number of persons, as it thinks fit to be conciliation officers, charged with the duty of mediating in and promoting the settlement of industrial disputes. (2) A conciliation officer may be appointed for a specified area or for specified industries in a specified area or for one or more specified industries and either permanently or for a limited period."
44,Industrial Tribunal,"(1) The appropriate Government may, by notification, constitute one or more Industrial Tribunals for the adjudication of industrial disputes and for performing such other functions as may be assigned to them under this Code and the Tribunal so constituted by the Central Government shall also exercise the jurisdiction, powers and authority conferred on the Tribunal, as defined in clause (m) of section 2 of the Employees' Provident Funds and Miscellaneous Provisions Act, 1952 (19 of 1952) by or under that Act. (2) Every Industrial Tribunal shall consist of two members to be appointed by the appropriate Government out of whom one shall be a Judicial Member and the other, an Administrative Member. (3) A bench of the Tribunal shall consist of a Judicial Member and an Administrative Member or single Judicial Member or single Administrative Member. (4) The qualifications for appointment, method of recruitment, term of office, salaries and allowances, resignation, removal and the other terms of conditions of service of the Judicial Member and the Administrative Member of the Tribunal constituted by the Central Government shall be in accordance with the rules made under section 184 of the Finance Act, 2017 (7 of 2017): Provided that a person who has held a post below the rank of Joint Secretary to the Government of India or an equivalent rank in the Central Government or a State Government, shall not be eligible to be appointed as an Administrative Member of the Tribunal. (5) The term of office of the Judicial Member and the Administrative Member of a Tribunal constituted by the State Government under sub-section (1), their salaries and allowances, resignation, removal and other terms and conditions of service shall be such as may be prescribed by the State Government. (6) The s"
